3591a5f - lakshaysethi, 3 days ago : Merge pull request #30 from lakshaysethi/google-sign-in-
ec33f5a - lakshaysethi, 3 days ago : added code for reciever signup
5fe2bb8 - lakshaysethi, 3 days ago : UI changes
8a5b939 - lakshaysethi, 3 days ago : fixing classes
16dd2ac - lakshaysethi, 3 days ago : save work signin
29ac9cf - danica, 3 days ago : update TODO
d889938 - lakshaysethi, 3 days ago : added google sign in
c1685bb - danica, 3 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
21aca5a - danica, 3 days ago : update dev journal
d9cb975 - lakshaysethi, 3 days ago : initial code for google sign in
81c2c80 - Abdullah Raza, 4 days ago : Merge pull request #24 from lakshaysethi/update-firebase-fix
60b71fe - Midlanr, 4 days ago : Merge branch 'master' into update-firebase-fix
551c829 - Midlanr, 4 days ago : Cleaned up code
a6a8f67 - danica, 4 days ago : update profile layout
9c458c2 - Midlanr, 4 days ago : Changed write to overwrite existing array in firestore
74a8c7f - danica, 4 days ago : issue logout and click back button
0594a46 - danica, 4 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
32ab7c8 - danica, 4 days ago : update journal
d0e39a2 - lakshaysethi, 4 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
b059b9e - lakshaysethi, 4 days ago : added code for logging out
2fe3100 - lakshaysethi, 4 days ago : Merge pull request #19 from lakshaysethi/firebase---auth-work-
4606b46 - lakshaysethi, 4 days ago : added signup Intent to login screen and other error toasts
b31ec64 - Midlanr, 4 days ago : Added a random package generator
5ddec1e - lakshaysethi, 4 days ago : Merge pull request #17 from lakshaysethi/firebase---auth-work-
2bd5b29 - Midlanr, 4 days ago : Added some comments to Firebase Controller
c3bb07e - lakshaysethi, 4 days ago : added login with firebase code
18e028e - lakshaysethi, 4 days ago : made controller to handel the login in login activity
143bdb3 - lakshaysethi, 4 days ago : added login lougout fucntions
01e94d0 - lakshaysethi, 4 days ago : added try catch to signup button
c559f8d - lakshaysethi, 4 days ago : Update FirebaseController.java
99dca66 - lakshaysethi, 4 days ago : made the code better at signup activity to work with the user input
631e595 - lakshaysethi, 4 days ago : Merge pull request #15 from lakshaysethi/master-copy-for-testing-rename-merge
6e900fd - lakshaysethi, 4 days ago : Merge pull request #14 from lakshaysethi/Signup-layout-edit
4da591e - lakshaysethi, 4 days ago : firebase test code - dont worry low prio
2fac833 - lakshaysethi, 4 days ago : Update FirebaseController.java
fd9237f - lakshaysethi, 4 days ago : renamed buttons
38eb0e6 - lakshaysethi, 4 days ago : fragments moved so xms needs to be updated
f61c515 - lakshaysethi, 4 days ago : moved fragments to where they belong
a077696 - lakshaysethi, 4 days ago : commented the fragment code for button
5c55790 - lakshaysethi, 4 days ago : moved the signup button out of the fragments
0c1e01b - lakshaysethi, 4 days ago : Merge pull request #12 from lakshaysethi/TODOs
654ed57 - lakshaysethi, 4 days ago : un doing signup activity rename as it causes many complex merge
a6022da - lakshaysethi, 4 days ago : added TODO
07ad0b1 - lakshaysethi, 4 days ago : Update FirebaseController.java
5b474bf - lakshaysethi, 4 days ago : Update FirebaseController.java
319d45b - lakshaysethi, 4 days ago : rename in FBC
2b554d5 - lakshaysethi, 4 days ago : renaming and organisisng packages
02b70cf - lakshaysethi, 4 days ago : organised activities into packages
ce7f48c - lakshaysethi, 4 days ago : removed password vulnerability
a086c2a - lakshaysethi, 4 days ago : added auth dependency
f7b8c29 - lakshaysethi, 5 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
0ab6a2a - lakshaysethi, 5 days ago : renamed main activity to admin main activity
e0fb4db - lakshaysethi, 5 days ago : firebase code
a0a0221 - lakshaysethi, 5 days ago : Update DeveloperJournalLakshay.md
3ce2544 - lakshaysethi, 5 days ago : Merge pull request #8 from lakshaysethi/master-copy-24-june-4am
14e7a58 - lakshaysethi, 5 days ago : small fixes also needed to merge into master
d7baa62 - lakshaysethi, 5 days ago : Merge pull request #7 from lakshaysethi/firebase-for-receiver-testing
4934636 - lakshaysethi, 5 days ago : Merge branch 'master-copy-24-june-4am' into firebase-for-receiver-testing
079a8a5 - lakshaysethi, 5 days ago : Update ReceiverMainActivity.java
51639a1 - lakshaysethi, 5 days ago : temp fix CHECK
6997227 - lakshaysethi, 5 days ago : Update FirebaseController.java
f797784 - lakshaysethi, 5 days ago : Update DeliveryJob.java
71caa4f - lakshaysethi, 5 days ago : new better function updated for deliveries
21485cc - lakshaysethi, 5 days ago : added firebase code test
0e0051e - lakshaysethi, 5 days ago : Create FirebaseController.java
b302e94 - lakshaysethi, 5 days ago : made code easir to read
89236f4 - lakshaysethi, 5 days ago : Merge pull request #6 from lakshaysethi/firebase-code
35a347a - lakshaysethi, 5 days ago : temp code for testing before firebase
264805e - lakshaysethi, 5 days ago : Update Parcel.java
04ff615 - danica, 5 days ago : update todo
257603a - lakshaysethi, 5 days ago : changed the reciever class to be better and easy to read code
eced909 - lakshaysethi, 5 days ago : small updates to better code
bd551f7 - lakshaysethi, 5 days ago : mistake rename - but need this -
b8be4f6 - lakshaysethi, 5 days ago : change to array list
500e4e9 - lakshaysethi, 5 days ago : class parcel
f73cc36 - danica, 5 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
81e8c92 - danica, 5 days ago : 1_MyTask_onClick_2_My_Parcel_onClick_3_Permission
73d36c6 - lakshaysethi, 5 days ago : change from [] to arraylist because there arent many functions for []
fb4b804 - lakshaysethi, 5 days ago : prep for firestore
a730269 - lakshaysethi, 5 days ago : replaced my task class with parcel class
8b49473 - lakshaysethi, 5 days ago : updated the parcel class
6c042ea - Midlanr, 5 days ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
f0b06ea - Midlanr, 5 days ago : Updated admin and customer class
b063c6e - danica, 5 days ago : driver alert dialog
adafdb0 - danica, 5 days ago : pull classes
e090669 - danica, 5 days ago : update
b534ecf - lakshaysethi, 5 days ago : added files for setting up firebase with our app
562d9bb - lakshaysethi, 6 days ago : initial commit
2662001 - lakshaysethi, 8 days ago : added code for classes - and fixed login for administrator
45d8932 - danica, 9 days ago : update dev journal
ac23a5e - danica, 10 days ago : logo
9e5aa31 - danica, 10 days ago : update dev journal
32bd9c8 - danica, 10 days ago : update dev journal
719c5d9 - danica, 10 days ago : update dev journal
0ea9da9 - danica, 10 days ago : update dev journal
6fe66fb - danica, 10 days ago : notification ui
5e0e009 - danica, 10 days ago : my account ui
3739c27 - danica, 10 days ago : click action bar to profile activity
818640f - danica, 10 days ago : add _profile
f434808 - danica, 10 days ago : notification back to last page
c4a535a - danica, 11 days ago : notification menu item
3b8e98d - danica, 11 days ago : change actionbar title and icon
fb24931 - danica, 11 days ago : administrator_recyclerview_cardview
a920224 - danica, 11 days ago : update layout
3e61c96 - danica, 11 days ago : receiver_my_parcel_recyclerview_cardview
61658ff - danica, 11 days ago : driver_my_task_recyclerview_cardview
a543b14 - danica, 11 days ago : update dev journal
d169521 - danica, 12 days ago : all_main_activities_main_ui
2af09e6 - danica, 12 days ago : admin_main_activity
63e642f - danica, 12 days ago : login_signup_page_change
2e49cbd - danica, 12 days ago : signup ui
f40dadf - danica, 12 days ago : sigup tab
828dd4a - danica, 12 days ago : login
e72b80d - danica, 12 days ago : login
30dc00f - danica, 13 days ago : theme color
f152728 - danica, 13 days ago : splash activity
695b6c5 - Danica, 13 days ago : Merge pull request #1 from lakshaysethi/initial-empty-activity-code
b0be851 - Lakshay Sethi, 2 weeks ago : Update .gitignore
6abe86d - Lakshay Sethi, 2 weeks ago : initial commit of empty activity
23ae276 - lakshaysethi, 4 weeks ago : Create Abdullah_Developer_journal.md
964a8f2 - lakshaysethi, 4 weeks ago : Rename DeveloperJournalDanica.md to Danica_Developer_Journal.md
4540d95 - lakshaysethi, 4 weeks ago : Create DeveloperJournalDanica.md
c904979 - lakshaysethi, 4 weeks ago : Create DeveloperJournalLakshay.md
